
Ingresos y Salidas de Mercadería -Almacén Principal
Item,Producto,Ingreso,Salida,Stock
1,BODY SPA UÑA DE GATO CREMA PARA MANOS A/P,0,1,2
2,DELINEADOR PUNTA PINCEL NEGRO,1,0,146
3,REVITALIST HIDRATANTE,0,1,13
4,ELIXIR DE VIDA HIDRATANTE,0,2,22
5,ELIXIR DE VIDA SUERO RECONSTITUYENTE,0,1,3
6,REVITALIST LIMPIADOR,0,1,28
7,REVITALIST TONICO,0,1,22
8,ELIXIR DE VIDA CREMA DE OJOS,1,0,5
9,SENTIVA DESMAQUILLADOR DOBLE FASE,0,1,51
10,HYDRA LIP LABIAL COLOR INTENSO  CHOCOLAT MOUSSE,1,0,23
11,HYDRA LIP LABIAL COLOR INTENSO ALMENDRADO,0,1,11
12,B/L PERFECT COVER MAT T2,0,1,13
13,ESMALTE PERFECT TEN BASE ESMALTE UÑAS,0,1,5
14,TEMPTATION EAU DE PARFUM,0,1,25
15,TOTAL BLOCK SPF 100,0,1,185
16,LESENCE FLORES DE CEREZO COLOGNE,0,1,35
17,ULTRA DEF DEL LAPIZ OJOS NEGRO ABSOLUTO,0,1,286
18,BB CREAM MATT CREMA HIDRATANTE,1,0,21
19,BS KIDS COLONIA NIÑOS,1,0,37
20,ULTRA DEF DEL LAP OJO MARRON,0,1,10
21,ULTRA DEF DEL LAB CHOCOLATE,0,2,33
22,ULTRA DEFINITON DELINEADOR LABIOS PALO DE ROSA,0,1,16
23,CCORI DESODORANTE,0,1,1
24,EXTRACTO DIVINO CONCENTRADO,0,0,0
25,BODY SPA QUINUA CREMA CUERPO,0,1,1
26,UNIQUECIL RIMEL EXTRA XL NEGRO,0,2,16
27,MUSK COLOGNE FOR MEN,1,0,20
28,C/S COLOR EFFECT FUROR AZUL,1,0,4
29,BODY SPA BABY SHAMPOO,1,0,10
30,BODY SPA EXFOLIANTE GOMMAGE EN CREMA QUINUA,1,0,58
31,HYDRA-LIP LARGA DURACION CIRUELA LOVE,0,1,11

Ingresos y Salidas de Mercadería -Almacén Secundario
Item,Producto,Ingreso,Salida,Stock
1,EXTRACTO DIVINO CONCENTRADO,0,1,114

Ingresos y Salidas de Mercadería -Mostrador
Item,Producto,Ingreso,Salida,Stock

Ingresos y Salidas de Mercadería -Almacén de Premios
Item,Producto,Ingreso,Salida,Stock
