Item,Fecha,Producto,Ubicación,Stock
1,2018-02-01,43 N PARALEL COLOGNE FOR MEN,C-4-1,23
2,2018-02-01,ACENTO INTENSE EAU DE PARFUM,B-1-2,13
3,2018-02-01,ACENTO TRENDY EAU DE PARFUM,B-1-1,21
4,2018-02-01,ACNI-DERM CREMA CORRECTORA,H-5-2,7
5,2018-02-01,ACNI-DERM CREMA HIDRATANTE,H-5-2,11
6,2018-02-01,ACNI-DERM LIMPIAD MASCARILLA EXFOLIANTE,H-5-1,5
7,2018-02-01,ACNI-DERM TONICO ASTRINGENTE,H-5-2,6
8,2018-02-01,ADRENALINE EAU DE TOILETTE,B-1-1,10
9,2018-02-01,ADRENALINE FOR MEN COLOGNE,C-1-1,9
10,2018-02-01,ADRENALINE URBANO COLOGNE,C-1-1,24
11,2018-02-01,AROM ABSOLUT COLOGNE FOR MEN,C-1-1,4
12,2018-02-01,AROM DESODORANTE A/P,C-2-2,5
13,2018-02-01,AROM GEL AFTER SHAVE A/P,C-2-1,2
14,2018-02-01,AROM GEL AFTER SHAVE,C-2-1,1
15,2018-02-01,AROM POUR HOMME COLONIA,C-2-2,4
16,2018-02-01,AROM DESODORANTE,C-2-1,20
17,2018-02-01,B/C PERFECT COVER COMPACT CLA1,F-6-1,3
18,2018-02-01,B/C PERFECT COVER COMPACT MEDIANO 1,F-6-1,4
19,2018-02-01,B/C PERFECT COVER COMPACT MEDIANO 2,F-6-1,5
20,2018-02-01,B/L ELIXIR DE VIDA ANTIEDAD T1,H-6-1,7
21,2018-02-01,B/L ELIXIR DE VIDA ANTIEDAD T2,H-6-1,8
22,2018-02-01,B/L ELIXIR DE VIDA ANTIEDAD T3,H-6-1,3
23,2018-02-01,B/L ELIXIR DE VIDA ANTIEDAD T4,H-6-1,3
24,2018-02-01,B/L ELIXIR DE VIDA ANTIEDAD T5,H-5-1,2
25,2018-02-01,HYDRA-LIP BRILLO LABIAL BRILLANTINA,G-2-3,6
26,2018-02-01, HYDRA-LIP BRILLO LABIAL IMPULSO,G-2-3,24
27,2018-02-01,HYDRA-LIP BRILLO LABIAL LILA VINTAGE,G-2-3,3
28,2018-02-01, HYDRA-LIP BRILLO LABIAL MELON CHIC,G-2-3,1
29,2018-02-01, HYDRA-LIP BRILLO LABIAL  MORA INTENSE,G-2-2,3
30,2018-02-01, HYDRA-LIP BRILLO LABIAL  MUJER DE ROJO,G-2-2,7
31,2018-02-01,HYDRA-LIP BRILLO LABIAL ROSA DIAMANTE,G-2-2,15
32,2018-02-01, HYDRA-LIP BRILLO LABIAL ROSA LUMINOSA,G-2-2,12
33,2018-02-01,B/L PERFECT COVER HIDRA T1,H-6-1,16
34,2018-02-01,B/L PERFECT COVER HIDRA T2,H-6-1,50
35,2018-02-01,B/L PERFECT COVER HIDRA T3,H-6-1,11
36,2018-02-01,B/L PERFECT COVER HIDRA T4,H-6-1,2
37,2018-02-01,B/L PERFECT COVER HIDRA T5,H-6-2,1
38,2018-02-01,B/L PERFECT COVER MAT T1,H-6-2,15
39,2018-02-01,B/L PERFECT COVER MAT T2,H-6-2,18
40,2018-02-01,B/L PERFECT COVER MAT T3,H-6-2,2
41,2018-02-01,B/L PERFECT COVER MAT T4,H-6-2,4
42,2018-02-01,B/L PERFECT COVER MAT T5,H-6-2,2
43,2018-02-01,BASE PROTECTORA Y. BEIGE,G-5-2,6
44,2018-02-01,BASE PROTECTORA  Y. NUDE,G-5-2,12
45,2018-02-01,BALSAMO BELLEZA BB CREAM,H-5-2,4
46,2018-02-01,BILLETERA HOMBRE BARLO,G-5-1,4
47,2018-02-01,BIO EFFECTIVE DESODORANTE COCO CARIBEÑO,D-5-2,29
48,2018-02-01,BIO EFFECTIVE DSEODORANTE GRANADA EXOTICA,D-5-2,34
49,2018-02-01,BIO EFFECTIVE DESODORANTE ORIGINAL,D-5-1,54
50,2018-02-01,BIO EFFECTIVE DESODORANTE PERA MANZANA,D-5-1,19
51,2018-02-01,BIO FRUIT SHAMPOO Y ACONDICIONADOR GRANADA EXOTICA 350ML A/P,D-1-1,3
52,2018-02-01,BIO FRUIT 2EN1 MANGO MARACUYA,D-1-2,24
53,2018-02-01,BIO FRUIT ORIGINAL ACONDICIONADOR A/P,D-1-2,2
54,2018-02-01,BIO FRUIT COCO CARIB SHAM & ACON,D-1-2,3
55,2018-02-01,BIO FRUIT GRANADA EXOTICA FRESH COLOGNE,E-1-2,25
56,2018-02-01,BIO FRUIT GRANADA SHAM & ACON,D-1-1,2
57,2018-02-01,BIO FRUIT ORIGINAL ACONDICIONADOR,D-1-2,1
58,2018-02-01,BIO FRUIT ORIGINAL SHAMPOO,D-1-2,2
59,2018-02-01,BIO FRUIT PERA MANZANA SHAM & ACON,D-1-2,7
60,2018-02-01,BIO FRUIT PERA MANZANA FRESH COLOGNE,E-2-1,28
61,2018-02-01,BIO FRUIT ORIGINAL SHAMPOO A/P,D-1-2,2
62,2018-02-01,BIO MILK COCO CARIB CREMA,H-1-1,19
