SKU,Nombre Corto,Atributo,Stock,Fecha de Modificación,Precio Promedio
2021755,ARETES NATURAL CRISTAL,Negro,1,2018-02-01,0
2024184,ARETES COINCIDIR,Negro,1,2018-02-01,0
2129031,SET ARETES  CRISTAL FEM,Negro,25,2018-02-01,0
2315756,COLECCIÓN TAHITI CHIC,Negro,1,2018-02-01,0
2426200,COLECCIÓN DECO COLOR,Negro,1,2018-02-01,0
2426470,COLECCIÓN CRISTAL,Negro,1,2018-02-01,0
2426491,ARETES CRISTAL,Negro,4,2018-02-01,0
2428454,ARETES SUEÑOS DE CONQUISTA,Negro,24,2018-02-01,0
2428874,COLECCIÓN CONQUISTARTE,Negro,12,2018-02-01,0
2428977,ARETES ELEGANCE PERLA,Negro,40,2018-02-01,0
2428995,COLECCIÓN PERLA FEM,Negro,12,2018-02-01,0
2429031,ARETES FANTAZZI,Negro,1,2018-02-01,0
2429629,COLECCIÓN DIVA DIAMOND,Negro,37,2018-02-01,0
2429678,COLECCIÓN BLAC ELEGANCE,Negro,16,2018-02-01,0
2430162,COLECCIÓN ELEFANTE MILENARIO,Negro,23,2018-02-01,0
2430409,ARGOLLAS COSMOPOLITAN J14759,Negro,2,2018-02-01,0
2430595,ARETES DIAMANTE CRISTAL,Negro,15,2018-02-01,0
2431060,PULSERA RECONOCIMIENTO CNS DORE,Negro,2,2018-02-01,0
2431061,PULSERA RECONOCIMIENTO CNS ROSE,Negro,2,2018-02-01,0
2431112,COLECCIÓN TRESSOR PERLA,Negro,22,2018-02-01,0
2431542,COLECCIÓN CORAZON DICRISTAL,Negro,2,2018-02-01,0
2431546,SET ARETES LLUVIA AMATIST,Negro,13,2018-02-01,0
2432583,COLECCIÓN AMATISTA DELUXE,Negro,1,2018-02-01,0
2439025,ARETES RED FLOR,Negro,20,2018-02-01,0
25028100,ARETES DUBAI TOPAZ,Negro,1,2018-02-01,0
25028202,ARETES FLORE,Negro,1,2018-02-01,0
25028320,SET ARETES PETIT COLOR,Negro,1,2018-02-01,0
25028418,SORTIJA AMORE POP T-8,Negro,1,2018-02-01,0
25028469,COLLAR BALIC ELEFANT,Negro,2,2018-02-01,0
25028476,COLLAR AZULEYA,Negro,1,2018-02-01,0
25028479,SET ARETES ALONDRA,Negro,1,2018-02-01,0
25028514,ARETES BALIC,Negro,1,2018-02-01,0
25028542,ARETES ORIENT AZUL,Negro,1,2018-02-01,0
5008632,COLLAR URBAN EXPRESS,Negro,6,2018-02-01,0
5009439,ARETES SKALLI,Negro,1,2018-02-01,0
5015296,ARETES MELISSA SPORT,Negro,2,2018-02-01,0
5015641,ARETES MELODIA PERLA,Negro,2,2018-02-01,0
5016403,PULSERA RETRATO,Negro,1,2018-02-01,0
5016768,SORTIJA SIEMPRE T-9,Negro,1,2018-02-01,0
5017659,ARETES ROJO ROYAL,Negro,1,2018-02-01,0
5018425,COLLAR EXCENTRICA,Negro,1,2018-02-01,0
5018815,COLECCIÓN CRISTAL Y TU,Negro,1,2018-02-01,0
5018852,COLLAR MIL Y UNA NOCHES,Negro,1,2018-02-01,0
5019403,ARETES DULCE CORAZON,Negro,1,2018-02-01,0
5019691,ARETES PERLA DE ANGEL,Negro,1,2018-02-01,0
5019793,COLLAR ABANICO DE AMOR,Negro,1,2018-02-01,0
5020049,COLLAR ENAMORAME,Negro,1,2018-02-01,0
5020383,SET ARETES VALS PARA TI,Negro,1,2018-02-01,0
5020613,COLLAR ALEGRIA,Negro,1,2018-02-01,0
5020940,COLLAR RUEDA Y FORTUNA,Negro,1,2018-02-01,0
5020941,ARETES RUEDA Y FORTUNA,Negro,1,2018-02-01,0
5020990,PULSERA ENREDO DE AMOR,Negro,1,2018-02-01,0
5021054,ARETES TE ENCUENTRO,Negro,1,2018-02-01,0
5021074,COLECCIÓN ALAS BONITAS,Negro,2,2018-02-01,0
5021075,SORTIJA CUADRATTI GLAM T-8,Negro,1,2018-02-01,0
5021113,COLLAR SENSA PERLA,Negro,1,2018-02-01,0
5021285,ARETES JARDIN CRISTAL,Negro,2,2018-02-01,0
5021414,ARETES SUPREMO DORE,Negro,1,2018-02-01,0
5021422,COLLAR MIL AMORES,Negro,1,2018-02-01,0
5021471,PULSERA M DE MUJER,Negro,1,2018-02-01,0
5021567,ARETES MEDITTERANEO,Negro,1,2018-02-01,0
5021610,ARETES EL AMOR EXISTE,Negro,1,2018-02-01,0
5021641,ARETES CRUZADA DE AMOR,Negro,1,2018-02-01,0
5021686,ARETES NOCHE DE CRISTAL,Negro,1,2018-02-01,0
5021687,ARETES TODA LA NOCHE,Negro,1,2018-02-01,0
5021700,ARETES LIBRE EN FLOR,Negro,1,2018-02-01,0
5021713,ARETES ESTRENO CRISTAL,Negro,1,2018-02-01,0
50217396,ARETES FLOR HIPNOTICA,Negro,1,2018-02-01,0
5021780,ARETES PERLAS DE MUJER,Negro,2,2018-02-01,0
5022039,ARETES VENECIA,Negro,1,2018-02-01,0
5022092,ARETES LUJO DORE,Negro,1,2018-02-01,0
5022097,ARETES CRISTAL DE LUJO,Negro,1,2018-02-01,0
5022099,ARETES AMOR AMOR,Negro,1,2018-02-01,0
5022173,SET ARETES MI PALOMITA,Negro,1,2018-02-01,0
5022299,ARETES VOLE,Negro,1,2018-02-01,0
5022304,ARETES CLARO Y LUNA,Negro,1,2018-02-01,0
5022461,ARETES VENUS DORE,Negro,1,2018-02-01,0
5022542,ARETES SALVA BRILLO,Negro,1,2018-02-01,0
5022600,SET ARETES TUYA,Negro,1,2018-02-01,0
5022678,ARETES ARQUITEK,Negro,1,2018-02-01,0
5022759,ARETES RUMBO A TI,Negro,2,2018-02-01,0
5022817,ARETES LUNA BRILLANTE,Negro,1,2018-02-01,0
5022835,ARETES COLOR PARA AMAR,Negro,1,2018-02-01,0
5022853,ARETES DESTELLO DORADO,Negro,1,2018-02-01,0
5022883,ARETES CAPRICHOSA FLOR,Negro,1,2018-02-01,0
5022892,ARETES COLGANTE DORE,Negro,1,2018-02-01,0
5022988,ARETES BRONZ ROJO,Negro,1,2018-02-01,0
5022992,ARETES INAYA INTENSE,Negro,2,2018-02-01,0
5023021,ARETES TURQUESA CARIBE,Negro,1,2018-02-01,0
5023040,ARETES BURUNDI BLANCK,Negro,1,2018-02-01,0
5023107,COLLAR SALVAJE,Negro,1,2018-02-01,0
5023124,ARETES ARQUITEK CRISTAL,Negro,1,2018-02-01,0
5023138,ARETES MI LEALTAD,Negro,1,2018-02-01,0
5023193,ARETES BRASSIC,Negro,1,2018-02-01,0
5023201,COLLAR ENTRELAZADOS J9299,Negro,1,2018-02-01,0
5023350,SET PULSERAS TRICOLOR,Negro,1,2018-02-01,0
5023498,ARETES FLOR Y CHAMPAGNE J9563,Negro,1,2018-02-01,0
5023527,COLLAR ROSAZUL,Negro,2,2018-02-01,0
5023561,ARETES FLORAMA,Negro,1,2018-02-01,0
5023585,COLLAR ELEFANTE REAL,Negro,1,2018-02-01,0
5023612,ARETES FANTASIA,Negro,1,2018-02-01,0
5023675,ARETES MARIPI,Negro,1,2018-02-01,0
5023687,ARETES PARISTIEN,Negro,1,2018-02-01,0
5023784,ARETES ENTRELAZADOS J9784,Negro,1,2018-02-01,0
5023816,ARETES SOL Y MAR,Negro,1,2018-02-01,0
5023870,SET ARETES VINIA,Negro,2,2018-02-01,0
5023934,COLLAR COLOR GLAM,Negro,1,2018-02-01,0
5023935,ARETES METALIC GLAM,Negro,1,2018-02-01,0
5023936,ARETES COLOR GLAM,Negro,1,2018-02-01,0
5023939,ARETES ROMANIA,Negro,20,2018-02-01,0
5023947,ARETES GRINA,Negro,1,2018-02-01,0
5023973,ARETES LIBERTAD ROJO,Negro,1,2018-02-01,0
5024023,ARETES TU AMOR,Negro,1,2018-02-01,0
5024040,ARETES MIRALIS,Negro,1,2018-02-01,0
5024057,ARETES BERNI,Negro,2,2018-02-01,0
5024105,ARETES EMPORIUM,Negro,1,2018-02-01,0
5024120,ARETES STELLA,Negro,1,2018-02-01,0
5024136,ARETES PRIDA,Negro,4,2018-02-01,0
5024296,ARETES TATIANNE,Negro,2,2018-02-01,0
5024321,SET ARETES FORZ,Negro,1,2018-02-01,0
5024434,ARETES TRIASH,Negro,1,2018-02-01,0
5024460,ARETES SANTISE,Negro,1,2018-02-01,0
5024462,ARETES VERSAY,Negro,2,2018-02-01,0
5024465,ARETES ANAIRE,Negro,1,2018-02-01,0
5024491,ARETES AZUL DECOR,Negro,1,2018-02-01,0
5024499,ARETES FESTIVA,Negro,3,2018-02-01,0
5024500,ARETES CUADRATO DORE J10412,Negro,4,2018-02-01,0
5024575,COLECCIÓN VIVA MARIPOSA,Negro,2,2018-02-01,0
5024579,SET ARETES SUEÑOS ASI AJ10456,Negro,2,2018-02-01,0
5024622,ARETES JUEGO DE GALA,Negro,1,2018-02-01,0
5024638,ARETES FLOR ROSE,Negro,1,2018-02-01,0
5024651,ARETES ZIEM DORE,Negro,2,2018-02-01,0
5024671,SET ARETES VIVES EN MI,Negro,1,2018-02-01,0
5024700,ARETES SHANELLE,Negro,1,2018-02-01,0
5024701,ARETES HINDI,Negro,1,2018-02-01,0
5024706,ARETES PLENA DORE,Negro,1,2018-02-01,0
5024714,ARETES ENSUEÑO DE PERLAS,Negro,1,2018-02-01,0
5024743,ARETES VIALE DORE,Negro,1,2018-02-01,0
5024760,COLLAR CORAZON CRISTALLI,Negro,1,2018-02-01,0
5025302,COLLAR GARLISH J11051,Negro,1,2018-02-01,0
5025303,ARETES GARLISH J11052,Negro,1,2018-02-01,0
5025374,ARETES MIA CRISTAL,Negro,1,2018-02-01,0
5025503,SET ARETES PLATA Y RUBI J11350,Negro,1,2018-02-01,0
5025563,SET ARETES LEONICA,Negro,3,2018-02-01,0
5025698,SET ARETES PERLI FEM,Negro,2,2018-02-01,0
5025813,ARETES CITY AZUL,Negro,1,2018-02-01,0
5025814,ARETES CITY COLOR,Negro,1,2018-02-01,0
5025842,COLECCIÓN MAGIC GLAM,Negro,2,2018-02-01,0
5025933,ARETES URBANIC FEM,Negro,1,2018-02-01,0
5025957,SET ARETES OPULENCIA,Negro,1,2018-02-01,0
5025970,ARETES MILAN CRISTAL,Negro,2,2018-02-01,0
5025972,SET ARETES NEO CHIC,Negro,6,2018-02-01,0
5025993,PULSERA SAFARI BRIZ,Negro,1,2018-02-01,0
5026148,COLLAR LE ENCANT,Negro,1,2018-02-01,0
5026157,ARETES DORATA CRISTAL,Negro,1,2018-02-01,0
5026164,ARETES TRIBALIZ CRISTAL,Negro,1,2018-02-01,0
5026181,ARETES DECO CRISTAL,Negro,1,2018-02-01,0
5026188,ARETES MILAGRO PERLA,Negro,1,2018-02-01,0
5026251,ARETES GLAMIER,Negro,2,2018-02-01,0
5026268,PULSERA COSMO IN,Negro,1,2018-02-01,0
5026363,COLLAR CORANTINE,Negro,1,2018-02-01,0
5026412,ARETES AZUL MIO,Negro,1,2018-02-01,0
5026512,COLECCIÓN CRUZ DIVINA,Negro,1,2018-02-01,0
5026514,SET ARETES GLAM CRISTAL,Negro,18,2018-02-01,0
5026574,ARETES DOLCETO CRISTAL AJ12246,Negro,26,2018-02-01,0
5026581,COLLAR MIAMI CIELO,Negro,1,2018-02-01,0
5026621,ARETES CRISTAL PARK,Negro,1,2018-02-01,0
5026757,SET ARETES DULCINEA,Negro,1,2018-02-01,0
5026774,ARETES VIVA FLOR,Negro,1,2018-02-01,0
5026819,ARETES VERONZ FEM,Negro,1,2018-02-01,0
5026832,ARETES MIAMI CIELO,Negro,2,2018-02-01,0
5026973,ARETES MARIPOSS PETIT,Negro,1,2018-02-01,0
5026981,SET ARETES ELISSE,Negro,1,2018-02-01,0
5028001,ARETES ROYALTI PERLA,Negro,2,2018-02-01,0
5028130,ARETES CUORE GLAM,Negro,7,2018-02-01,0
5028264,ARETES PARIS PERLA,Negro,1,2018-02-01,0
5028273,ARETES CRISTAL ROYAL,Negro,1,2018-02-01,0
5028274,PULSERA MIA BELLA,Negro,1,2018-02-01,0
5028324,ARETES CRISTAL HIP,Negro,1,2018-02-01,0
5028339,SET ARETES BODAS,Negro,1,2018-02-01,0
5028343,COLECCIÓN DIVA CHIC,Negro,1,2018-02-01,0
5028380,ARETES PERLAS AVENTI,Negro,1,2018-02-01,0
5028395,COLECCIÓN CHANTEL,Negro,1,2018-02-01,0
5028403,ARETES HOJAS MIST,Negro,1,2018-02-01,0
5028422,ARETES BLUE ELISE FEM,Negro,1,2018-02-01,0
5028506,ARETES ACENTO,Negro,4,2018-02-01,0
5028553,COLLAR FANTAZZI,Negro,1,2018-02-01,0
5028578,COLLAR FEMINIST,Negro,1,2018-02-01,0
5028579,ARETES FEMINIST,Negro,1,2018-02-01,0
5028648,COLECCIÓN MARINNE,Negro,1,2018-02-01,0
5028651,ARETES STEFFI BLU,Negro,1,2018-02-01,0
5028659,PULSERA BENDITA BLU,Negro,1,2018-02-01,0
5028668,ARETES LUANA,Negro,4,2018-02-01,0
5028710,SET ARETES MARIELLE,Negro,7,2018-02-01,0
5028771,COLECCIÓN STAR CRISTAL,Negro,2,2018-02-01,0
5028778,ARETES BELLA CRISTAL,Negro,1,2018-02-01,0
5028779,COLECCIÓN MARAINA,Negro,1,2018-02-01,0
5028783,SET ARETES NACAR GLAM,Negro,1,2018-02-01,0
5028803,PULSERA LOVE BLU,Negro,1,2018-02-01,0
5028805,COLECCIÓN LOVE BLU,Negro,1,2018-02-01,0
5028830,SET ARETES ESTRELLA GLITZ,Negro,7,2018-02-01,0
5028858,SET COLLARES BENDITOS,Negro,1,2018-02-01,0
5028875,COLECCIÓN SEXY GLAM,Negro,2,2018-02-01,0
5028904,COLECCIÓN MARIPOSA BLIZ,Negro,1,2018-02-01,0
5028923,COLECCIÓN CAMELY BLU,Negro,1,2018-02-01,0
5028928,COLECCIÓN ELEFANTITO KISS,Negro,1,2018-02-01,0
5028945,COLECCIÓN CRISTALI BENDITA,Negro,1,2018-02-01,0
5028949,ARETES FANTAZZI BLANC,Negro,1,2018-02-01,0
5028953,COLECCIÓN CRISTAL FINNES,Negro,2,2018-02-01,0
5028960,COLECCIÓN ANGEL GLAM,Negro,6,2018-02-01,0
5028984,COLECCIÓN ALINNE,Negro,1,2018-02-01,0
5029004,ARETES OCEANIC,Negro,1,2018-02-01,0
5029019,SET ARETES ETERNITY J13475,Negro,5,2018-02-01,0
5029027,PULSERA SEXY GLAM,Negro,1,2018-02-01,0
5029062,ARETES AMULET CRISTAL,Negro,1,2018-02-01,0
5029111,SET ARETES WESTERN,Negro,1,2018-02-01,0
5029112,COLLAR FRONTERA,Negro,1,2018-02-01,0
5029154,COLECCIÓN PERLA WESTERN,Negro,2,2018-02-01,0
5029165,ARETES ZAFIR CRISTAL,Negro,1,2018-02-01,0
5029230,SET ARETES SUERTE MAGICA,Negro,1,2018-02-01,0
5029235,COLLAR AMOR DI CRISTAL,Negro,1,2018-02-01,0
5029236,ARETES AMOR DICRISTAL,Negro,1,2018-02-01,0
5029245,COLECCIÓN ANGEL PASTEL,Negro,1,2018-02-01,0
5029247,SET ARETES SORRENTO J13448,Negro,1,2018-02-01,0
5029362,ARETES SORRENTO FLOR,Negro,5,2018-02-01,0
5029396,COLLAR DISCOTEQUE J13635,Negro,1,2018-02-01,0
5029398,ARETES DISCOTEQUE J13637,Negro,1,2018-02-01,0
5029465,ARETES TU RETRATO,Negro,1,2018-02-01,0
5029468,COLECCIÓN I LOVE YOU,Negro,1,2018-02-01,0
5029470,COLECCIÓN CRUZ DIAMANTI,Negro,2,2018-02-01,0
5029472,ARETES VELVET LOVE,Negro,1,2018-02-01,0
5029524,SET COLLARES CRUZARO J13746,Negro,3,2018-02-01,0
5029530,COLECCIÓN GLITZY ROSE,Negro,1,2018-02-01,0
5029532,SET ARETES COLOR ZOO,Negro,1,2018-02-01,0
5029538,ARETES SUEÑO MIST,Negro,1,2018-02-01,0
5029547,COLECCIÓN DASH,Negro,1,2018-02-01,0
5029562,ARETES LIBELIZ CHIC,Negro,1,2018-02-01,0
5029579,COLLAR MANDALA FEM,Negro,1,2018-02-01,0
5029580,ARETES MANDALA FEM,Negro,1,2018-02-01,0
5029582,PULSERA MANDALA FEM,Negro,1,2018-02-01,0
5029593,ARETES BABILON,Negro,1,2018-02-01,0
5029618,COLECCIÓN PRINCI PINK,Negro,1,2018-02-01,0
5029619,SET ARETES PRINCI PINK,Negro,1,2018-02-01,0
5029627,ARETES MAVERICK CRISTAL AJ14031,Negro,9,2018-02-01,0
5029647,COLLAR CRISTAL RETRO CJ14047,Negro,2,2018-02-01,0
5029648,ARETES CRISTAL RETRO AJ14048,Negro,1,2018-02-01,0
5029649,COLLAR STAR ROSE,Negro,1,2018-02-01,0
5029650,ARETES STAR ROSE,Negro,1,2018-02-01,0
5029651,COLLAR ETERNO DIAMANTI,Negro,1,2018-02-01,0
5029675,SET ARETES RONDITA,Negro,1,2018-02-01,0
5029698,ARETES ETERNO DIAMANTI GLAM,Negro,2,2018-02-01,0
5029699,PULSERA ETERNO DIAMANTI,Negro,1,2018-02-01,0
5029736,ARGOLLAS DISCOTEQUE CRISTAL,Negro,1,2018-02-01,0
5029738,ARETES DISCOTEQUE CRISTAL,Negro,1,2018-02-01,0
5029759,ARETES RUBI HIT,Negro,1,2018-02-01,0
