SKU,Nombre Corto,Atributo,Subcategoría,Género,Estado
0000872,Solo for men cologne spray ,Negro,Collares,Unisex,Activo
0000883,OHM COLOGNE SPRAY,Salvia, toronja, lavanda.,Perfumería Varón,Varón,Activo
0001390,DENDUR COLOGNE FOR MEN,Pimienta negra, jengibre, tabaco.,Perfumería Varón,Varón,Activo
0001831,Solo Talco para el Cuerpo Hombre,Negro,Collares,Unisex,Activo
0001891,Expect for men ,Negro,Collares,Unisex,Activo
0002183,GAIA EAU DE PARFUM,Negro,Perfumería Dama,Unisex,Activo
0002187,O2xigen Gel After Shave,Negro,Collares,Unisex,Activo
0002279,OSADIA EAU DE PARFUM,Negro,Collares,Unisex,Activo
0002410,Prolong Color Rosa Romántico,Negro,Collares,Unisex,Activo
0002426,CIELO EAU DE PARFUM,Flor de loto, jazmín, sándalo.,Perfumería Dama,Dama,Activo
0002645,OHM BLACK COLOGNE SPRAY,Negro,Collares,Unisex,Activo
0002647,Bs Uña de Gato Crema para Manos,Negro,Collares,Unisex,Activo
0002683,COLONIA ALEGRÍA PETIT PON PON,Aroma de lavanda, vainilla y flor de naranja.,Colonia,Niños,Activo
0002710,COLONIA SWEETY,Melón de la jungla y bambú africano,Colonia,Dama,Activo
0002711,COLONIA SPORTY,Envase celeste,Colonia,Varón,Activo
0002777,Dimention 3D Caramel,Negro,Collares,Unisex,Activo
0002781,Dimention 3D Almendra,Negro,Collares,Unisex,Activo
0002816,Color Prisma Cuarteto de Sombras Toulousse,Negro,Collares,Unisex,Activo
0002858,COLONIA TERNURA PETIT PON PON,Aroma de manzanilla, limón y agua de rosas,Colonia,Niños,Activo
0002901,SEXY UNIQUE WOMAN,Bergamota, acasias brasileras, rosas turcas, jazmines indios, pachuli y cacao,Perfumería Dama,Dama,Activo
0002920,CCORI PASIÓN LE PARFUM,Anís estrella, flor de azahar, orquídea negra.,Perfumería Dama,Dama,Activo
0002924,OHM BLACK GEL AFTER SHAVE,Negro,Collares,Unisex,Activo
0002928,Gaia Eau De Perfum 7.5 ml.,Negro,Collares,Unisex,Activo
0002947,Total Block spf 30,Negro,Collares,Unisex,Activo
0002949,MUSK EAU DE PARFUM,Almizcle, ylang ylang, lila.,Perfumería Dama,Dama,Activo
0002950,MUSK HOMBRE COLOGNE SPRAY,Negro,Collares,Unisex,Activo
0002994,Top Modeling Crema Lippo-reductora (antigua presentación),Negro,Collares,Unisex,Activo
0002998,OSADIA HOMBRE COLOGNE SPRAY,Negro,Collares,Unisex,Activo
0002999,Musk Desodorante,Negro,Collares,Unisex,Activo
0003018,Top Modeling Gl Anti-celulitis (antigua presentación),Negro,Collares,Unisex,Activo
0003034,Sentiva Sistema Skin 24,Negro,Collares,Unisex,Activo
0003037,Dimention 3D Consentida por tus Besos,Negro,Collares,Unisex,Activo
0003074,Extra Xool Eau de Toleitte,Negro,Collares,Unisex,Activo
0003092,DULCE VANIDAD EAU DE PARFUM,Negro,Collares,Unisex,Activo
0003116,Bs Uña de Gato Gel Exfoliante para Baño,Negro,Collares,Unisex,Activo
0003119,LLUVIA D/LOS ANDES COL ABSOLUT,Negro,Collares,Unisex,Activo
0003128,Clic Labial Liquido Escarchado Talento Natural,Negro,Collares,Unisex,Activo
0003129,Clic Labial Liquido Escarchado Luces Camaras Accion,Negro,Collares,Unisex,Activo
0003130,Clic Labial Liquido Escarchado Besos de Pelicula,Negro,Collares,Unisex,Activo
0003138,Clic Brillo Labial Mordisco,Negro,Collares,Unisex,Activo
0003165,Clic Lapiz Delineador Mar Adentro,Negro,Collares,Unisex,Activo
0003166,Clic Lapiz Delineador Naufraga de Amor,Negro,Collares,Unisex,Activo
0003172,Clic Delinedor Liquido Metalico Reflejo de Lun,Negro,Collares,Unisex,Activo
0003193,Clic Delineador Liquido Escarchado Noche de Estreno,Negro,Collares,Unisex,Activo
0003195,Clic Delineador Liquido Escarchado Fiebre de Oro,Negro,Collares,Unisex,Activo
0003196,Clic Delineador Liquido Escarchado Verde Envidia,Negro,Collares,Unisex,Activo
0003236,TEMPTATION GEL AFTER SHAVE,Negro,Collares,Unisex,Activo
0003249,NO LIMITS COLONIA EN SPRAY PARA HOMBRES,Geranio, lavanda, limón.,Perfumería Varón,Varón,Activo
